Institution Name,State,Year,Revenue
Abraham Baldwin Agricultural College,Georgia,2022,68552665
Abraham Baldwin Agricultural College,Georgia,2021,78818975
Abraham Baldwin Agricultural College,Georgia,2020,61844756
Abraham Baldwin Agricultural College,Georgia,2019,80784294
Abraham Baldwin Agricultural College,Georgia,2018,65142186
Abraham Baldwin Agricultural College,Georgia,2017,49836174
Abraham Baldwin Agricultural College,Georgia,2016,51062150
Abraham Baldwin Agricultural College,Georgia,2015,56246274
Abraham Baldwin Agricultural College,Georgia,2014,44677215
Abraham Baldwin Agricultural College,Georgia,2013,46018255
Abraham Baldwin Agricultural College,Georgia,2012,45819941
Abraham Baldwin Agricultural College,Georgia,2011,44740071
Abraham Baldwin Agricultural College,Georgia,2010,40735580
Abraham Baldwin Agricultural College,Georgia,2009,41097411
Abraham Baldwin Agricultural College,Georgia,2008,39326074
Abraham Baldwin Agricultural College,Georgia,2007,30909357
Abraham Baldwin Agricultural College,Georgia,2006,35545827
Abraham Baldwin Agricultural College,Georgia,2005,23404551
Abraham Baldwin Agricultural College,Georgia,2004,34970207
Abraham Baldwin Agricultural College,Georgia,2003,27014372
Abraham Baldwin Agricultural College,Georgia,2002,26526346
Adams State University,Colorado,2022,72047255
Adams State University,Colorado,2021,57843434
Adams State University,Colorado,2020,58672444
Adams State University,Colorado,2019,58118569
Adams State University,Colorado,2018,54416458
Adams State University,Colorado,2017,60112908
Adams State University,Colorado,2016,57687570
Adams State University,Colorado,2015,65803845
Adams State University,Colorado,2014,58921196
Adams State University,Colorado,2013,48760882
Adams State University,Colorado,2012,47343096
Adams State University,Colorado,2011,47801543
Adams State University,Colorado,2010,45288143
Adams State University,Colorado,2009,50114408
Adams State University,Colorado,2008,41728861
Adams State University,Colorado,2007,36990218
Adams State University,Colorado,2006,35872955
Adams State University,Colorado,2005,33986955
Adams State University,Colorado,2004,31833716
Adams State University,Colorado,2003,33257080
Adams State University,Colorado,2002,36727031
Alabama A & M University,Alabama,2022,213968238
Alabama A & M University,Alabama,2021,344304848
Alabama A & M University,Alabama,2020,182077358
Alabama A & M University,Alabama,2019,167893322
Alabama A & M University,Alabama,2018,159767114
Alabama A & M University,Alabama,2017,159577824
Alabama A & M University,Alabama,2016,152297837
Alabama A & M University,Alabama,2015,155472162
Alabama A & M University,Alabama,2014,144396059
Alabama A & M University,Alabama,2013,136255775
Alabama A & M University,Alabama,2012,139234627
Alabama A & M University,Alabama,2011,145365185
Alabama A & M University,Alabama,2010,140776490
Alabama A & M University,Alabama,2009,127080771
Alabama A & M University,Alabama,2008,137332616
Alabama A & M University,Alabama,2007,141498327
Alabama A & M University,Alabama,2006,119050234
Alabama A & M University,Alabama,2005,118310223
Alabama A & M University,Alabama,2004,122176286
Alabama A & M University,Alabama,2003,105276410
Alabama A & M University,Alabama,2002,93691561
Alabama State University,Alabama,2022,173916291
Alabama State University,Alabama,2021,299393222
Alabama State University,Alabama,2020,156473993
Alabama State University,Alabama,2019,143365283
Alabama State University,Alabama,2018,144415417
Alabama State University,Alabama,2017,143188470
Alabama State University,Alabama,2016,138779452
Alabama State University,Alabama,2015,133529156
Alabama State University,Alabama,2014,145461288
Alabama State University,Alabama,2013,145664980
Alabama State University,Alabama,2012,145724842
Alabama State University,Alabama,2011,150199733
Alabama State University,Alabama,2010,145335140
Alabama State University,Alabama,2009,128617907
Alabama State University,Alabama,2008,168706251
Alabama State University,Alabama,2007,130787722
Alabama State University,Alabama,2006,109551609
Alabama State University,Alabama,2005,101562492
Alabama State University,Alabama,2004,84580029
Alabama State University,Alabama,2003,84955227
Alabama State University,Alabama,2002,82902261
Albany State University,Georgia,2022,149600129
Albany State University,Georgia,2021,113050164
Albany State University,Georgia,2020,108270834
Albany State University,Georgia,2019,104168597
Albany State University,Georgia,2018,134381882
Albany State University,Georgia,2017,106140034
Albany State University,Georgia,2016,65491080
Albany State University,Georgia,2015,71328521
Albany State University,Georgia,2014,71545067
Albany State University,Georgia,2013,73820002
Albany State University,Georgia,2012,78794073
Albany State University,Georgia,2011,77069000
Albany State University,Georgia,2010,68127768
Albany State University,Georgia,2009,62613138
Albany State University,Georgia,2008,63338213
Albany State University,Georgia,2007,59857588
Albany State University,Georgia,2006,51642936
Albany State University,Georgia,2005,47741518
Albany State University,Georgia,2004,46894765
Albany State University,Georgia,2003,60723627
Albany State University,Georgia,2002,45947467
Alcorn State University,Mississippi,2022,102867766
Alcorn State University,Mississippi,2021,104392678
Alcorn State University,Mississippi,2020,100790133
Alcorn State University,Mississippi,2019,90786523
Alcorn State University,Mississippi,2018,84944923
Alcorn State University,Mississippi,2017,88851364
Alcorn State University,Mississippi,2016,84176029
Alcorn State University,Mississippi,2015,91534753
Alcorn State University,Mississippi,2014,89257651
Alcorn State University,Mississippi,2013,89482521
Alcorn State University,Mississippi,2012,91832434
Alcorn State University,Mississippi,2011,85886296
Alcorn State University,Mississippi,2010,79319507
Alcorn State University,Mississippi,2009,84655136
Alcorn State University,Mississippi,2008,98234870
Alcorn State University,Mississippi,2007,93450813
Alcorn State University,Mississippi,2006,71168304
Alcorn State University,Mississippi,2005,64492908
Alcorn State University,Mississippi,2004,63786747
Alcorn State University,Mississippi,2003,64379288
Alcorn State University,Mississippi,2002,59095338
Angelo State University,Texas,2022,174195092
Angelo State University,Texas,2021,184859557
Angelo State University,Texas,2020,171336622
Angelo State University,Texas,2019,155152146
Angelo State University,Texas,2018,164840486
Angelo State University,Texas,2017,159627381
Angelo State University,Texas,2016,142246218
Angelo State University,Texas,2015,199574467
Angelo State University,Texas,2014,121996105
Angelo State University,Texas,2013,116702226
Angelo State University,Texas,2012,131672750
Angelo State University,Texas,2011,153338924
Angelo State University,Texas,2010,112083581
Angelo State University,Texas,2009,88398907
Angelo State University,Texas,2008,93385805
Angelo State University,Texas,2007,87289060
Angelo State University,Texas,2006,91757018
Angelo State University,Texas,2005,74315729
Angelo State University,Texas,2004,72284326
Angelo State University,Texas,2003,90565966
Angelo State University,Texas,2002,69284428
Appalachian State University,North Carolina,2022,563375550
Appalachian State University,North Carolina,2021,545103268
Appalachian State University,North Carolina,2020,457619857
Appalachian State University,North Carolina,2019,465409496
Appalachian State University,North Carolina,2018,472303135
Appalachian State University,North Carolina,2017,427498925
Appalachian State University,North Carolina,2016,399340975
Appalachian State University,North Carolina,2015,380343483
